"PERIOD";"COMPONENT";"GENDER";"POPULATION_GROUP";"AGE";"VALUE";"UNIT_MEASURE"
2019;"Total";"Total";"Total";"Total";682551;"n"
2019;"Total";"Total";"Total";"Total";12.3011;"%"
2019;"Total";"M";"Total";"Total";362729;"n"
2019;"Total";"M";"Total";"Total";12.9411;"%"
2019;"Total";"F";"Total";"Total";319822;"n"
2019;"Total";"F";"Total";"Total";11.6479;"%"
2019;"Total";"Total";"CH";"Total";418355;"n"
2019;"Total";"Total";"CH";"Total";10.6201;"%"
2019;"Total";"Total";"AUSL";"Total";264196;"n"
2019;"Total";"Total";"AUSL";"Total";16.4157;"%"
2019;"Total";"Total";"Total";"18-24";58437;"n"
2019;"Total";"Total";"Total";"18-24";8.9307;"%"
2019;"Total";"Total";"Total";"25-39";212287;"n"
2019;"Total";"Total";"Total";"25-39";11.8264;"%"
2019;"Total";"Total";"Total";"40-54";227057;"n"
2019;"Total";"Total";"Total";"40-54";12.1999;"%"
2019;"Total";"Total";"Total";"55-65";184770;"n"
2019;"Total";"Total";"Total";"55-65";14.9227;"%"
2019;"ALV";"Total";"Total";"Total";295960;"n"
2019;"ALV";"Total";"Total";"Total";5.3339;"%"
2019;"ALV";"M";"Total";"Total";161859;"n"
2019;"ALV";"M";"Total";"Total";5.7746;"%"
2019;"ALV";"F";"Total";"Total";134101;"n"
2019;"ALV";"F";"Total";"Total";4.8839;"%"
2019;"ALV";"Total";"CH";"Total";155792;"n"
2019;"ALV";"Total";"CH";"Total";3.9548;"%"
2019;"ALV";"Total";"AUSL";"Total";140168;"n"
2019;"ALV";"Total";"AUSL";"Total";8.7093;"%"
2019;"ALV";"Total";"Total";"18-24";29505;"n"
2019;"ALV";"Total";"Total";"18-24";4.5091;"%"
2019;"ALV";"Total";"Total";"25-39";119919;"n"
2019;"ALV";"Total";"Total";"25-39";6.6806;"%"
2019;"ALV";"Total";"Total";"40-54";97973;"n"
2019;"ALV";"Total";"Total";"40-54";5.2641;"%"
2019;"ALV";"Total";"Total";"55-65";48563;"n"
2019;"ALV";"Total";"Total";"55-65";3.9221;"%"
2019;"SH";"Total";"Total";"Total";186437;"n"
2019;"SH";"Total";"Total";"Total";3.36;"%"
2019;"SH";"M";"Total";"Total";94566;"n"
2019;"SH";"M";"Total";"Total";3.3738;"%"
2019;"SH";"F";"Total";"Total";91871;"n"
2019;"SH";"F";"Total";"Total";3.3459;"%"
2019;"SH";"Total";"CH";"Total";97511;"n"
2019;"SH";"Total";"CH";"Total";2.4754;"%"
2019;"SH";"Total";"AUSL";"Total";88926;"n"
2019;"SH";"Total";"AUSL";"Total";5.5254;"%"
2019;"SH";"Total";"Total";"18-24";22917;"n"
2019;"SH";"Total";"Total";"18-24";3.5023;"%"
2019;"SH";"Total";"Total";"25-39";65185;"n"
2019;"SH";"Total";"Total";"25-39";3.6314;"%"
2019;"SH";"Total";"Total";"40-54";64362;"n"
2019;"SH";"Total";"Total";"40-54";3.4582;"%"
2019;"SH";"Total";"Total";"55-65";33973;"n"
2019;"SH";"Total";"Total";"55-65";2.7438;"%"
2019;"IV";"Total";"Total";"Total";232709;"n"
2019;"IV";"Total";"Total";"Total";4.194;"%"
2019;"IV";"M";"Total";"Total";123800;"n"
2019;"IV";"M";"Total";"Total";4.4168;"%"
