"PERIOD";"COMPONENT";"MEASURE";"GENDER";"POPULATION_GROUP";"AGE";"VALUE";"STATUS";"UNIT_MEASURE"
2019;"Total";"Absolut";"Total";"Total";"Total";19348;"A";"n"
2019;"Total";"in % aller Beziehenden";"Total";"Total";"Total";2.8347;"A";"%"
2019;"Total";"Absolut";"M";"Total";"Total";9912;"A";"n"
2019;"Total";"in % aller Beziehenden";"M";"Total";"Total";2.7326;"A";"%"
2019;"Total";"Absolut";"F";"Total";"Total";9436;"A";"n"
2019;"Total";"in % aller Beziehenden";"F";"Total";"Total";2.9504;"A";"%"
2019;"Total";"Absolut";"Total";"CH";"Total";11194;"A";"n"
2019;"Total";"in % aller Beziehenden";"Total";"CH";"Total";2.6757;"A";"%"
2019;"Total";"Absolut";"Total";"AUSL";"Total";8154;"A";"n"
2019;"Total";"in % aller Beziehenden";"Total";"AUSL";"Total";3.0863;"A";"%"
2019;"Total";"Absolut";"Total";"Total";"18-24";1726;"A";"n"
2019;"Total";"in % aller Beziehenden";"Total";"Total";"18-24";2.9536;"A";"%"
2019;"Total";"Absolut";"Total";"Total";"25-39";6205;"A";"n"
2019;"Total";"in % aller Beziehenden";"Total";"Total";"25-39";2.9229;"A";"%"
2019;"Total";"Absolut";"Total";"Total";"40-54";6838;"A";"n"
2019;"Total";"in % aller Beziehenden";"Total";"Total";"40-54";3.0116;"A";"%"
2019;"Total";"Absolut";"Total";"Total";"55-65";4579;"A";"n"
2019;"Total";"in % aller Beziehenden";"Total";"Total";"55-65";2.4782;"A";"%"
2019;"ALV+SH";"Absolut";"Total";"Total";"Total";9907;"A";"n"
2019;"ALV+SH";"in % aller Beziehenden";"Total";"Total";"Total";1.4515;"A";"%"
2019;"ALV+SH";"in % ALV";"Total";"Total";"Total";3.3474;"A";"%"
2019;"ALV+SH";"in % SH";"Total";"Total";"Total";5.3139;"A";"%"
2019;"ALV+SH";"Absolut";"M";"Total";"Total";4942;"A";"n"
2019;"ALV+SH";"in % aller Beziehenden";"M";"Total";"Total";1.3624;"A";"%"
2019;"ALV+SH";"in % ALV";"M";"Total";"Total";3.0533;"A";"%"
2019;"ALV+SH";"in % SH";"M";"Total";"Total";5.226;"A";"%"
2019;"ALV+SH";"Absolut";"F";"Total";"Total";4965;"A";"n"
2019;"ALV+SH";"in % aller Beziehenden";"F";"Total";"Total";1.5524;"A";"%"
2019;"ALV+SH";"in % ALV";"F";"Total";"Total";3.7024;"A";"%"
2019;"ALV+SH";"in % SH";"F";"Total";"Total";5.4043;"A";"%"
2019;"ALV+SH";"Absolut";"Total";"CH";"Total";4719;"A";"n"
2019;"ALV+SH";"in % aller Beziehenden";"Total";"CH";"Total";1.128;"A";"%"
2019;"ALV+SH";"in % ALV";"Total";"CH";"Total";3.029;"A";"%"
2019;"ALV+SH";"in % SH";"Total";"CH";"Total";4.8395;"A";"%"
2019;"ALV+SH";"Absolut";"Total";"AUSL";"Total";5188;"A";"n"
2019;"ALV+SH";"in % aller Beziehenden";"Total";"AUSL";"Total";1.9637;"A";"%"
2019;"ALV+SH";"in % ALV";"Total";"AUSL";"Total";3.7013;"A";"%"
2019;"ALV+SH";"in % SH";"Total";"AUSL";"Total";5.8341;"A";"%"
2019;"ALV+SH";"Absolut";"Total";"Total";"18-24";1265;"A";"n"
2019;"ALV+SH";"in % aller Beziehenden";"Total";"Total";"18-24";2.1647;"A";"%"
2019;"ALV+SH";"in % ALV";"Total";"Total";"18-24";4.2874;"A";"%"
2019;"ALV+SH";"in % SH";"Total";"Total";"18-24";5.5199;"A";"%"
2019;"ALV+SH";"Absolut";"Total";"Total";"25-39";4153;"A";"n"
2019;"ALV+SH";"in % aller Beziehenden";"Total";"Total";"25-39";1.9563;"A";"%"
2019;"ALV+SH";"in % ALV";"Total";"Total";"25-39";3.4632;"A";"%"
2019;"ALV+SH";"in % SH";"Total";"Total";"25-39";6.3711;"A";"%"
2019;"ALV+SH";"Absolut";"Total";"Total";"40-54";3291;"A";"n"
2019;"ALV+SH";"in % aller Beziehenden";"Total";"Total";"40-54";1.4494;"A";"%"
2019;"ALV+SH";"in % ALV";"Total";"Total";"40-54";3.3591;"A";"%"
2019;"ALV+SH";"in % SH";"Total";"Total";"40-54";5.1133;"A";"%"
2019;"ALV+SH";"Absolut";"Total";"Total";"55-65";1198;"A";"n"
2019;"ALV+SH";"in % aller Beziehenden";"Total";"Total";"55-65";0.6484;"A";"%"
2019;"ALV+SH";"in % ALV";"Total";"Total";"55-65";2.4669;"A";"%"
2019;"ALV+SH";"in % SH";"Total";"Total";"55-65";3.5263;"A";"%"
2019;"ALV+IV";"Absolut";"Total";"Total";"Total";2385;"A";"n"
2019;"ALV+IV";"in % aller Beziehenden";"Total";"Total";"Total";0.3494;"A";"%"
2019;"ALV+IV";"in % ALV";"Total";"Total";"Total";0.8059;"A";"%"
2019;"ALV+IV";"in % IV";"Total";"Total";"Total";1.0249;"A";"%"
2019;"ALV+IV";"Absolut";"M";"Total";"Total";1236;"A";"n"
2019;"ALV+IV";"in % aller Beziehenden";"M";"Total";"Total";0.3408;"A";"%"
2019;"ALV+IV";"in % ALV";"M";"Total";"Total";0.7636;"A";"%"
2019;"ALV+IV";"in % IV";"M";"Total";"Total";0.9984;"A";"%"
2019;"ALV+IV";"Absolut";"F";"Total";"Total";1149;"A";"n"
2019;"ALV+IV";"in % aller Beziehenden";"F";"Total";"Total";0.3593;"A";"%"
2019;"ALV+IV";"in % ALV";"F";"Total";"Total";0.8568;"A";"%"
2019;"ALV+IV";"in % IV";"F";"Total";"Total";1.055;"A";"%"
2019;"ALV+IV";"Absolut";"Total";"CH";"Total";1826;"A";"n"
2019;"ALV+IV";"in % aller Beziehenden";"Total";"CH";"Total";0.4365;"A";"%"
2019;"ALV+IV";"in % ALV";"Total";"CH";"Total";1.1721;"A";"%"
2019;"ALV+IV";"in % IV";"Total";"CH";"Total";0.9934;"A";"%"
2019;"ALV+IV";"Absolut";"Total";"AUSL";"Total";559;"A";"n"
2019;"ALV+IV";"in % aller Beziehenden";"Total";"AUSL";"Total";0.2116;"A";"%"
2019;"ALV+IV";"in % ALV";"Total";"AUSL";"Total";0.3988;"A";"%"
2019;"ALV+IV";"in % IV";"Total";"AUSL";"Total";1.1435;"A";"%"
2019;"ALV+IV";"Absolut";"Total";"Total";"18-24";92;"A";"n"
2019;"ALV+IV";"in % aller Beziehenden";"Total";"Total";"18-24";0.1574;"A";"%"
2019;"ALV+IV";"in % ALV";"Total";"Total";"18-24";0.3118;"A";"%"
2019;"ALV+IV";"in % IV";"Total";"Total";"18-24";0.9984;"A";"%"
2019;"ALV+IV";"Absolut";"Total";"Total";"25-39";428;"A";"n"
2019;"ALV+IV";"in % aller Beziehenden";"Total";"Total";"25-39";0.2016;"A";"%"
2019;"ALV+IV";"in % ALV";"Total";"Total";"25-39";0.3569;"A";"%"
2019;"ALV+IV";"in % IV";"Total";"Total";"25-39";1.1226;"A";"%"
2019;"ALV+IV";"Absolut";"Total";"Total";"40-54";809;"A";"n"
2019;"ALV+IV";"in % aller Beziehenden";"Total";"Total";"40-54";0.3563;"A";"%"
2019;"ALV+IV";"in % ALV";"Total";"Total";"40-54";0.8257;"A";"%"
2019;"ALV+IV";"in % IV";"Total";"Total";"40-54";1.0629;"A";"%"
2019;"ALV+IV";"Absolut";"Total";"Total";"55-65";1056;"A";"n"
2019;"ALV+IV";"in % aller Beziehenden";"Total";"Total";"55-65";0.5715;"A";"%"
2019;"ALV+IV";"in % ALV";"Total";"Total";"55-65";2.1745;"A";"%"
2019;"ALV+IV";"in % IV";"Total";"Total";"55-65";0.9666;"A";"%"
2019;"SH+IV";"Absolut";"Total";"Total";"Total";7136;"A";"n"
2019;"SH+IV";"in % aller Beziehenden";"Total";"Total";"Total";1.0455;"A";"%"
2019;"SH+IV";"in % SH";"Total";"Total";"Total";3.8276;"A";"%"
2019;"SH+IV";"in % IV";"Total";"Total";"Total";3.0665;"A";"%"
2019;"SH+IV";"Absolut";"M";"Total";"Total";3772;"A";"n"
2019;"SH+IV";"in % aller Beziehenden";"M";"Total";"Total";1.0399;"A";"%"
2019;"SH+IV";"in % SH";"M";"Total";"Total";3.9887;"A";"%"
2019;"SH+IV";"in % IV";"M";"Total";"Total";3.0468;"A";"%"
2019;"SH+IV";"Absolut";"F";"Total";"Total";3364;"A";"n"
2019;"SH+IV";"in % aller Beziehenden";"F";"Total";"Total";1.0518;"A";"%"
2019;"SH+IV";"in % SH";"F";"Total";"Total";3.6617;"A";"%"
2019;"SH+IV";"in % IV";"F";"Total";"Total";3.0888;"A";"%"
2019;"SH+IV";"Absolut";"Total";"CH";"Total";4708;"A";"n"
2019;"SH+IV";"in % aller Beziehenden";"Total";"CH";"Total";1.1254;"A";"%"
2019;"SH+IV";"in % SH";"Total";"CH";"Total";4.8282;"A";"%"
2019;"SH+IV";"in % IV";"Total";"CH";"Total";2.5612;"A";"%"
2019;"SH+IV";"Absolut";"Total";"AUSL";"Total";2428;"A";"n"
2019;"SH+IV";"in % aller Beziehenden";"Total";"AUSL";"Total";0.919;"A";"%"
2019;"SH+IV";"in % SH";"Total";"AUSL";"Total";2.7304;"A";"%"
2019;"SH+IV";"in % IV";"Total";"AUSL";"Total";4.9666;"A";"%"
2019;"SH+IV";"Absolut";"Total";"Total";"18-24";378;"A";"n"
2019;"SH+IV";"in % aller Beziehenden";"Total";"Total";"18-24";0.6469;"A";"%"
2019;"SH+IV";"in % SH";"Total";"Total";"18-24";1.6494;"A";"%"
2019;"SH+IV";"in % IV";"Total";"Total";"18-24";4.102;"A";"%"
2019;"SH+IV";"Absolut";"Total";"Total";"25-39";1637;"A";"n"
2019;"SH+IV";"in % aller Beziehenden";"Total";"Total";"25-39";0.7711;"A";"%"
2019;"SH+IV";"in % SH";"Total";"Total";"25-39";2.5113;"A";"%"
2019;"SH+IV";"in % IV";"Total";"Total";"25-39";4.2935;"A";"%"
2019;"SH+IV";"Absolut";"Total";"Total";"40-54";2772;"A";"n"
2019;"SH+IV";"in % aller Beziehenden";"Total";"Total";"40-54";1.2208;"A";"%"
