"PERIOD_REF";"COMPONENT";"PERIOD_OBS";"GENDER";"POPULATION_GROUP";"VALUE";"UNIT_MEASURE"
2018;"Total";2018;"Total";"Total";697789;"n"
2018;"Total";2018;"Total";"Total";100;"%"
2018;"Total";2018;"M";"Total";370013;"n"
2018;"Total";2018;"M";"Total";100;"%"
2018;"Total";2018;"F";"Total";327776;"n"
2018;"Total";2018;"F";"Total";100;"%"
2018;"Total";2018;"Total";"CH";428742;"n"
2018;"Total";2018;"Total";"CH";100;"%"
2018;"Total";2018;"Total";"AUSL";269047;"n"
2018;"Total";2018;"Total";"AUSL";100;"%"
2018;"Total";2019;"Total";"Total";510053;"n"
2018;"Total";2019;"Total";"Total";73.0956;"%"
2018;"Total";2019;"M";"Total";271361;"n"
2018;"Total";2019;"M";"Total";73.3382;"%"
2018;"Total";2019;"F";"Total";238692;"n"
2018;"Total";2019;"F";"Total";72.8217;"%"
2018;"Total";2019;"Total";"CH";321932;"n"
2018;"Total";2019;"Total";"CH";75.0876;"%"
2018;"Total";2019;"Total";"AUSL";188121;"n"
2018;"Total";2019;"Total";"AUSL";69.9212;"%"
2018;"ALV";2018;"Total";"Total";310537;"n"
2018;"ALV";2018;"Total";"Total";100;"%"
2018;"ALV";2018;"M";"Total";168336;"n"
2018;"ALV";2018;"M";"Total";100;"%"
2018;"ALV";2018;"F";"Total";142201;"n"
2018;"ALV";2018;"F";"Total";100;"%"
2018;"ALV";2018;"Total";"CH";165422;"n"
2018;"ALV";2018;"Total";"CH";100;"%"
2018;"ALV";2018;"Total";"AUSL";145115;"n"
2018;"ALV";2018;"Total";"AUSL";100;"%"
2018;"ALV";2019;"Total";"Total";154461;"n"
2018;"ALV";2019;"Total";"Total";49.74;"%"
2018;"ALV";2019;"M";"Total";85836;"n"
2018;"ALV";2019;"M";"Total";50.9909;"%"
2018;"ALV";2019;"F";"Total";68625;"n"
2018;"ALV";2019;"F";"Total";48.2592;"%"
2018;"ALV";2019;"Total";"CH";77032;"n"
2018;"ALV";2019;"Total";"CH";46.567;"%"
2018;"ALV";2019;"Total";"AUSL";77429;"n"
2018;"ALV";2019;"Total";"AUSL";53.357;"%"
2018;"SH";2018;"Total";"Total";188111;"n"
2018;"SH";2018;"Total";"Total";100;"%"
2018;"SH";2018;"M";"Total";95635;"n"
2018;"SH";2018;"M";"Total";100;"%"
2018;"SH";2018;"F";"Total";92476;"n"
2018;"SH";2018;"F";"Total";100;"%"
2018;"SH";2018;"Total";"CH";99543;"n"
2018;"SH";2018;"Total";"CH";100;"%"
2018;"SH";2018;"Total";"AUSL";88568;"n"
2018;"SH";2018;"Total";"AUSL";100;"%"
2018;"SH";2019;"Total";"Total";142812;"n"
2018;"SH";2019;"Total";"Total";75.919;"%"
2018;"SH";2019;"M";"Total";71889;"n"
2018;"SH";2019;"M";"Total";75.1702;"%"
2018;"SH";2019;"F";"Total";70923;"n"
2018;"SH";2019;"F";"Total";76.6934;"%"
2018;"SH";2019;"Total";"CH";76026;"n"
2018;"SH";2019;"Total";"CH";76.375;"%"
2018;"SH";2019;"Total";"AUSL";66786;"n"
2018;"SH";2019;"Total";"AUSL";75.4065;"%"
2018;"IV";2018;"Total";"Total";233196;"n"
2018;"IV";2018;"Total";"Total";100;"%"
2018;"IV";2018;"M";"Total";124319;"n"
2018;"IV";2018;"M";"Total";100;"%"
2018;"IV";2018;"F";"Total";108877;"n"
2018;"IV";2018;"F";"Total";100;"%"
2018;"IV";2018;"Total";"CH";183724;"n"
2018;"IV";2018;"Total";"CH";100;"%"
2018;"IV";2018;"Total";"AUSL";49472;"n"
2018;"IV";2018;"Total";"AUSL";100;"%"
2018;"IV";2019;"Total";"Total";216709;"n"
2018;"IV";2019;"Total";"Total";92.93;"%"
2018;"IV";2019;"M";"Total";115202;"n"
2018;"IV";2019;"M";"Total";92.6664;"%"
2018;"IV";2019;"F";"Total";101507;"n"
2018;"IV";2019;"F";"Total";93.2309;"%"
2018;"IV";2019;"Total";"CH";171390;"n"
2018;"IV";2019;"Total";"CH";93.2867;"%"
2018;"IV";2019;"Total";"AUSL";45319;"n"
2018;"IV";2019;"Total";"AUSL";91.6054;"%"
2017;"Total";2017;"Total";"Total";718635;"n"
2017;"Total";2017;"Total";"Total";100;"%"
2017;"Total";2017;"M";"Total";385063;"n"
2017;"Total";2017;"M";"Total";100;"%"
2017;"Total";2017;"F";"Total";333572;"n"
2017;"Total";2017;"F";"Total";100;"%"
2017;"Total";2017;"Total";"CH";439709;"n"
2017;"Total";2017;"Total";"CH";100;"%"
2017;"Total";2017;"Total";"AUSL";278926;"n"
2017;"Total";2017;"Total";"AUSL";100;"%"
2017;"Total";2018;"Total";"Total";525036;"n"
2017;"Total";2018;"Total";"Total";73.0602;"%"
2017;"Total";2018;"M";"Total";281380;"n"
2017;"Total";2018;"M";"Total";73.0738;"%"
2017;"Total";2018;"F";"Total";243656;"n"
2017;"Total";2018;"F";"Total";73.0445;"%"
2017;"Total";2018;"Total";"CH";329406;"n"
2017;"Total";2018;"Total";"CH";74.9145;"%"
2017;"Total";2018;"Total";"AUSL";195630;"n"
2017;"Total";2018;"Total";"AUSL";70.1369;"%"
2017;"Total";2019;"Total";"Total";419201;"n"
2017;"Total";2019;"Total";"Total";58.333;"%"
2017;"Total";2019;"M";"Total";225053;"n"
2017;"Total";2019;"M";"Total";58.4458;"%"
2017;"Total";2019;"F";"Total";194148;"n"
2017;"Total";2019;"F";"Total";58.2027;"%"
2017;"Total";2019;"Total";"CH";270362;"n"
2017;"Total";2019;"Total";"CH";61.4866;"%"
2017;"Total";2019;"Total";"AUSL";148839;"n"
2017;"Total";2019;"Total";"AUSL";53.3615;"%"
2017;"ALV";2017;"Total";"Total";328025;"n"
2017;"ALV";2017;"Total";"Total";100;"%"
2017;"ALV";2017;"M";"Total";181364;"n"
2017;"ALV";2017;"M";"Total";100;"%"
2017;"ALV";2017;"F";"Total";146661;"n"
2017;"ALV";2017;"F";"Total";100;"%"
2017;"ALV";2017;"Total";"CH";175643;"n"
2017;"ALV";2017;"Total";"CH";100;"%"
2017;"ALV";2017;"Total";"AUSL";152382;"n"
2017;"ALV";2017;"Total";"AUSL";100;"%"
2017;"ALV";2018;"Total";"Total";166011;"n"
2017;"ALV";2018;"Total";"Total";50.6093;"%"
